Time,On,Temperature,Setpoint
3620,68,69.49461209864904,70
3630,68,69.50990484281947,70
3640,68,69.52515510714497,70
3650,68,69.54036300962511,70
3660,68,69.55552866793171,70
3670,68,69.57065219940968,70
3680,68,69.58573372107799,70
3690,68,69.60077334963054,70
3700,68,69.61577120143713,70
3710,68,69.63072739254423,70
3720,68,69.64564203867606,70
3730,68,69.66051525523528,70
3740,68,69.67534715730407,70
3750,68,69.69013785964489,70
3760,68,69.70488747670144,70
3770,68,69.71959612259948,70
3780,68,69.73426391114782,70
3790,68,69.74889095583907,70
3800,68,69.76347736985063,70
3810,68,69.7780232660455,70
3820,68,69.79252875697314,70
3830,68,69.80699395487044,70
3840,68,69.82141897166247,70
3850,68,69.83580391896339,70
3860,68,69.85014890807739,70
3870,68,69.8644540499994,70
3880,68,69.87871945541606,70
3890,68,69.89294523470657,70
3900,68,69.9071314979435,70
3910,68,69.92127835489364,70
3920,68,69.93538591501894,70
3930,68,69.94945428747722,70
3940,68,69.96348358112311,70
3950,68,69.97747390450888,70
3960,68,69.99142536588525,70
3970,68,70.00533807320224,70
3980,68,70.01921213411,70
3990,68,70.03304765595969,70
4000,68,70.04684474580425,70
4010,68,70.06060351039923,70
4020,68,70.07432405620368,70
4030,68,70.08800648938089,70
4040,68,70.10165091579927,70
4050,68,70.11525744103317,70
4060,68,70.12882617036362,70
4070,68,70.14235720877929,70
4080,68,70.15585066097712,70
4090,68,70.1693066313633,70
4100,68,70.18272522405394,70
4110,68,70.19610654287601,70
4120,68,70.20945069136803,70
4130,68,70.2227577727809,70
4140,68,70.23602789007872,70
4150,68,70.24926114593961,70
4160,68,70.26245764275644,70
4170,68,70.27561748263767,70
4180,68,70.28874076740811,70
4190,68,70.30182759860976,70
4200,68,70.31487807750251,70
4210,68,70.327892305065,70
4220,68,70.34087038199539,70
4230,68,70.35381240871206,70
4240,68,70.36671848535453,70
4250,68,70.3795887117841,70
4260,68,70.3924231875847,70
4270,68,70.40522201206363,70
4280,68,70.41798528425234,70
4290,68,70.43071310290719,70
4300,68,70.44340556651022,70
4310,68,70.45606277326992,70
4320,68,70.46868482112194,70
4330,68,70.48127180772994,70
4340,68,70.49382383048624,70
4350,63,70.50634098651267,70
4360,63,70.44937892821679,70
4370,63,70.39257509786063,70
4380,63,70.33592905592214,70
4390,63,70.27944036410013,70
4400,63,70.22310858531097,70
4410,63,70.1669332836851,70
4420,63,70.11091402456375,70
4430,63,70.05505037449552,70
4440,63,69.99934190123304,70
4450,63,69.9437881737296,70
4460,63,69.88838876213592,70
4470,63,69.83314323779665,70
4480,63,69.7780511732472,70
4490,63,69.72311214221041,70
4500,63,69.66832571959316,70
4510,63,69.61369148148319,70
4520,63,69.55920900514573,70
4530,63,69.50487786902032,70
4540,68,69.45069765271748,70
4550,68,69.46611238145994,70
4560,68,69.48148429151144,70
4570,68,69.4968135018128,70
4580,68,69.51210013097442,70
4590,68,69.52734429727727,70
4600,68,69.54254611867371,70
4610,68,69.5577057127885,70
4620,68,69.57282319691966,70
4630,68,69.58789868803932,70
4640,68,69.60293230279477,70
4650,68,69.61792415750922,70
4660,68,69.6328743681828,70
4670,68,69.6477830504934,70
4680,68,69.66265031979759,70
4690,68,69.67747629113148,70
4700,68,69.69226107921168,70
4710,68,69.70700479843609,70
4720,68,69.72170756288487,70
4730,68,69.7363694863213,70
4740,68,69.75099068219262,70
4750,68,69.76557126363097,70
4760,68,69.78011134345422,70
4770,68,69.79461103416685,70
4780,68,69.80907044796083,70
4790,68,69.82348969671649,70
4800,68,69.83786889200339,70
4810,68,69.85220814508115,70
4820,68,69.86650756690037,70
4830,68,69.88076726810343,70
4840,68,69.89498735902535,70
4850,68,69.90916794969473,70
4860,68,69.92330914983447,70
4870,68,69.9374110688627,70
4880,68,69.95147381589364,70
4890,68,69.96549749973838,70
4900,68,69.97948222890577,70
4910,68,69.99342811160325,70
4920,68,70.00733525573769,70
4930,68,70.0212037689162,70
4940,68,70.03503375844697,70
4950,68,70.04882533134017,70
4960,68,70.06257859430868,70
4970,68,70.07629365376893,70
4980,68,70.08997061584179,70
4990,68,70.10360958635334,70
5000,68,70.11721067083569,70
5010,68,70.13077397452781,70
5020,68,70.14429960237635,70
5030,68,70.15778765903642,70
5040,68,70.17123824887243,70
5050,68,70.18465147595889,70
5060,68,70.19802744408122,70
5070,68,70.21136625673655,70
5080,68,70.2246680171345,70
5090,68,70.23793282819801,70
5100,68,70.25116079256414,70
5110,68,70.2643520125848,70
5120,68,70.2775065903276,70
5130,68,70.29062462757669,70
5140,68,70.30370622583342,70
5150,68,70.31675148631722,70
5160,68,70.32976050996633,70
5170,68,70.34273339743865,70
5180,68,70.35567024911244,70
5190,68,70.36857116508712,70
5200,68,70.38143624518409,70
5210,68,70.39426558894748,70
5220,68,70.40705929564484,70
5230,68,70.41981746426805,70
5240,68,70.43254019353397,70
5250,68,70.44522758188526,70
5260,68,70.45787972749113,70
5270,68,70.4704967282481,70
5280,68,70.48307868178074,70
5290,68,70.49562568544246,70
5300,63,70.50813783631624,70
5310,63,70.45117078677092,70
5320,63,70.39436197902988,70
5330,63,70.33771097353258,70
5340,63,70.28121733193943,70
5350,63,70.22488061712849,70
5360,63,70.16870039319201,70
5370,63,70.11267622543315,70
5380,63,70.05680768036251,70
5390,63,70.00109432569482,70
5400,63,69.94553573034568,70
5410,63,69.89013146442805,70
5420,63,69.83488109924909,70
5430,63,69.77978420730673,70
5440,63,69.72484036228643,70
5450,63,69.67004913905785,70
5460,63,69.61541011367159,70
5470,63,69.56092286335583,70
5480,63,69.50658696651317,70
5490,68,69.4524020027173,70
5500,68,69.4678119971542,70
5510,68,69.48317918605099,70
5520,68,69.49850368831196,70
5530,68,69.51378562251108,70
5540,68,69.529025106893,70
5550,68,69.54422225937385,70
5560,68,69.55937719754226,70
5570,68,69.57449003866019,70
5580,68,69.58956089966391,70
5590,68,69.60458989716484,70
5600,68,69.6195771474505,70
5610,68,69.63452276648536,70
5620,68,69.64942686991178,70
5630,68,69.66428957305092,70
5640,68,69.67911099090355,70
5650,68,69.69389123815104,70
5660,68,69.70863042915617,70
5670,68,69.72332867796408,70
5680,68,69.73798609830305,70
5690,68,69.75260280358555,70
5700,68,69.76717890690892,70
5710,68,69.78171452105639,70
5720,68,69.7962097584979,70
5730,68,69.81066473139096,70
5740,68,69.82507955158154,70
5750,68,69.83945433060492,70
5760,68,69.85378917968657,70
5770,68,69.868084209743,70
5780,68,69.8823395313826,70
5790,68,69.89655525490654,70
5800,68,69.91073149030957,70
5810,68,69.92486834728093,70
5820,68,69.93896593520516,70
5830,68,69.95302436316292,70
5840,68,69.96704373993191,70
5850,68,69.98102417398766,70
5860,68,69.99496577350436,70
5870,68,70.00886864635572,70
5880,68,70.02273290011586,70
5890,68,70.03655864205997,70
5900,68,70.05034597916536,70
5910,68,70.06409501811213,70
5920,68,70.07780586528403,70
5930,68,70.09147862676936,70
5940,68,70.10511340836166,70
5950,68,70.11871031556066,70
5960,68,70.13226945357299,70
5970,68,70.14579092731306,70
5980,68,70.15927484140386,70
5990,68,70.17272130017773,70
6000,68,70.18613040767724,70
6010,68,70.1995022676559,70
6020,68,70.21283698357908,70
6030,68,70.2261346586247,70
6040,68,70.23939539568407,70
6050,68,70.25261929736273,70
6060,68,70.26580646598117,70
6070,68,70.27895700357566,70
6080,68,70.29207101189905,70
6090,68,70.30514859242156,70
6100,68,70.3181898463315,70
6110,68,70.33119487453614,70
6120,68,70.34416377766242,70
6130,68,70.3570966560578,70
6140,68,70.36999360979098,70
6150,68,70.38285473865267,70
6160,68,70.39568014215641,70
6170,68,70.4084699195393,70
6180,68,70.42122416976281,70
6190,68,70.43394299151346,70
6200,68,70.4466264832037,70
6210,68,70.45927474297258,70
6220,68,70.47188786868654,70
6230,68,70.48446595794019,70
6240,68,70.49700910805703,70
6250,63,70.50951741609019,70
6260,63,70.45254653437883,70
6270,63,70.39573390511667,70
6280,63,70.33907908871356,70
6290,63,70.28258164680047,70
6300,63,70.22624114222603,70
6310,63,70.17005713905317,70
6320,63,70.1140292025558,70
6330,63,70.05815689921538,70
6340,63,70.00243979671755,70
6350,63,69.9468774639489,70
6360,63,69.89146947099348,70
6370,63,69.8362153891296,70
6380,63,69.78111479082648,70
6390,63,69.72616724974084,70
6400,63,69.67137234071379,70
6410,63,69.61672963976736,70
6420,63,69.56223872410133,70
6430,63,69.50789917208995,70
6440,68,69.45371056327858,70
6450,68,69.46911692282504,70
6460,68,69.48448048692829,70
6470,68,69.4998013744646,70
6480,68,69.51507970397998,70
6490,68,69.53031559369114,70
6500,68,69.54550916148644,70
6510,68,69.56066052492676,70
6520,68,69.5757698012464,70
6530,68,69.59083710735405,70
6540,68,69.60586255983361,70
6550,68,69.6208462749452,70
6560,68,69.6357883686259,70
6570,68,69.65068895649082,70
6580,68,69.6655481538339,70
6590,68,69.6803660756288,70
6600,68,69.69514283652983,70
6610,68,69.7098785508728,70
6620,68,69.72457333267593,70
6630,68,69.73922729564072,70
6640,68,69.75384055315283,70
6650,68,69.76841321828294,70
6660,68,69.78294540378772,70
6670,68,69.79743722211053,70
6680,68,69.81188878538245,70
6690,68,69.82630020542305,70
6700,68,69.84067159374132,70
6710,68,69.85500306153648,70
6720,68,69.86929471969887,70
6730,68,69.88354667881082,70
6740,68,69.89775904914745,70
6750,68,69.9119319406776,70
6760,68,69.9260654630646,70
6770,68,69.9401597256672,70
6780,68,69.95421483754035,70
6790,68,69.96823090743607,70
6800,68,69.9822080438043,70
6810,68,69.99614635479374,70
6820,68,70.01004594825264,70
6830,68,70.02390693172971,70
6840,68,70.0377294124749,70
6850,68,70.05151349744025,70
6860,68,70.06525929328069,70
6870,68,70.0789669063549,70
6880,68,70.09263644272615,70
6890,68,70.10626800816301,70
6900,68,70.11986170814035,70
6910,68,70.13341764783995,70
6920,68,70.14693593215151,70
6930,68,70.1604166656733,70
6940,68,70.1738599527131,70
6950,68,70.1872658972889,70
6960,68,70.20063460312976,70
6970,68,70.21396617367661,70
6980,68,70.22726071208307,70
6990,68,70.24051832121617,70
7000,68,70.25373910365724,70
7010,68,70.26692316170264,70
7020,68,70.28007059736456,70
7030,68,70.29318151237189,70
